Name	Date
OL440112.1	2015-1-1
LT993245.1	2015-6-1
OL449092.1	2014-1-1
OL515139.1	2012-1-1
OL515137.1	2012-1-1
OL449093.1	2014-1-1
JQ944705.1	2008-1-1
JQ944706.1	2008-1-1
JQ944707.1	2008-1-1
KC595281.1	2011-1-1
KT728348.1	2003-1-1
KT728349.1	2003-1-1
KY860613.1	1989-1-1
JQ944704.1	2009-1-1
KP997032.1	2014-1-1
MG458313.1	1996-1-1
JQ944708.1	2008-1-1
KC595280.1	2011-1-1
KC595283.1	2011-1-1
LT909533.1	1990-4-12
MH514972.1	2008-1-1
MH514971.1	2010-1-1
MH514976.1	2010-1-1
MH514970.1	2011-1-1
MH514974.1	2011-1-1
MH514983.1	2011-1-1
MH514975.1	2013-1-1
MH514977.1	2013-1-1
MH514981.1	2013-1-1
MH514978.1	2014-1-1
MH514979.1	2014-1-1
MH514980.1	2014-1-1
MH514985.1	2015-1-1
MH514968.1	2001-1-1
MH514969.1	2005-1-1
MH514982.1	2007-1-1
MH514984.1	2011-1-1
MH514973.1	2011-1-1
MG458310.1	1986-1-1
MG458312.1	1997-1-1
MG458311.1	1998-1-1
OQ544456.1	2022-12-22
OQ544455.1	2022-12-14
OQ544454.1	2022-9-30
LT993236.1	2014-1-1
LT993235.1	2012-5-1
LT993239.1	2012-5-1
KT336432.1	2012-1-1
KT336436.1	2012-1-1
KT336437.1	2012-1-1
MT454631.1	2015-1-1
MT454634.1	2015-1-1
MT454635.1	2015-1-1
MT454636.1	2016-1-1
MT454637.1	2016-1-1
MT454639.1	2016-1-1
MT454641.1	2016-1-1
MT454643.1	2017-1-1
